"ISO","power","number","hub","rotor"
"AUT","3.45","8","91.5","117"
"AUT","4.2","14","166","150"
"AUT","3.63","10","91.5","117"
"AUT","3","13","120","82"
"AUT","3","14","78","82"
"BEL","2.35","1","138","103"
"BEL","2.3","2","117","71"
"BGR","2.1","6","80","88"
"BGR","2.5","20","100","90"
"HRV","2","5","80","90"
"HRV","3.6","18","134","116.8"
"HRV","4","39","65","90"
"HRV","3.05","16","75","103"
"CYP","2","41","80","90"
"CZE","3","1","84","112"
"CZE","2","4","80","90"
"CZE","3","2","80","100"
"EST","3","13","80","100"
"FIN","5.5","13","230","163"
"FIN","3","15","119","162"
"FRA","2.35","6","59","82"
"DEU","4.2","2","105","150"
"DEU","2.5454545454545","22","134.35","127"
"DEU","4.2","7","169","130"
"DEU","3.4444444444444","9","141.5","117"
"HUN","5","3","80","90"
"HUN","2","4","80","90"
"IRL","3.21","31","79.5","113"
"ITA","4.2","6","82","136"
"ITA","2.2","9","91.5","117"
"LTU","2.4133333333333","30","82","59"
"LTU","2.3","17","108","82"
"LTU","2.3","6","80","101"
"NLD","5","6","166","162"
"NLD","3.6755555555556","9","124.5","117"
"NOR","2.7247422680412","388","87","117"
"NOR","3.45","15","84","112"
"NOR","2.3","26","80","93"
"POL","3.4563636363636","11","84","132"
"PRT","2.0428571428571","84","76.5","100"
"ROU","2.0487804878049","41","80","90"
"ROU","2.5","32","70","90"
"ROU","3","36","84","112"
"SRB","3.45","20","95","164"
"SRB","3.3","20","114","132"
"SWE","6.2","60","119","162"
"SWE","5.5","26","199.5","150"
"CHE","2.3","1","79","82"
"CHE","2.3","3","108","82"
"CHE","2","2","78","82"
"TUR","3.7714285714286","14","101","158"
"GBR","2","15","76.5","100"
